freshwater_id;originalname;othernames;flag;lat;lon;country;ICES_GUID;ICES_key;ICES_GUID_duplicate;
;81;;what is this;;;;;;;
;83;;what is this;;;;;;;
;Gammelsø-Maglemose Kanal;;;55.488437;11.231708;Denmark;5e6eb06b-7ab2-4f7b-a970-1eabb8b91962;DK0749a;;
;Gargån;;;;;;;;;
;Gauja;;;57.14458305;24.30795302;Latvia;4c233532-69c6-4cbf-a079-38e7e0f65804;LV52111;;
;Gauja (Vizla);;;54.2161669;25.612157;Lithuania;;;;
;Gavleån;;;60.6570443;17.0330999;Sweden;a1a82b00-5895-4d56-b09e-e487975b4a3c;SE52000;;
;Genevadsån;;;56.5733345;12.9747892;Sweden;fc7da94a-d1c8-47d9-bdf1-ee3dbe4f70d3;SE99000;;
;Gideälven;;;63.8575164;18.4803879;Sweden;6516cb3e-bbca-4050-b9f9-3c7a8f9447ed;SE34000;;
;Gladyschevka;;;;;Russia;;;;
;Glazupe;;;57.9215491;24.7499121;Latvia;;;;
;Glāžupe;;;57.9215491;24.7499121;Latvia;d7eca9a0-af07-4e01-a7ab-2485896bcfaa;LV54141;;
;Glomma;;;;;;ac3ae96d-15b1-4d39-ac02-0edd32c13510;SE113000;;
;Glomså;;;;;Finland;;;;
;Glud bæk;;;55.8059513;10.0072447;Denmark;baa22d29-b4c7-4be4-bc17-eccd69a56721;DK1302;;
;Gnarpsån;;;62.0403678;17.3256947;Sweden;31ed276e-67fa-4e2e-abd5-18157d7f1c0e;SE43000;;
;Goddestorfer Au;;;;;Germany;;;;
;Goldbach;;;;;;;;;
;Gorohovka;;;;;Russia;;;;
;Gothemsån;;;57.6053037;18.7353086;Sweden;771cbac4-826f-4cac-aea9-16ff17c4698e;SE117000;;
;Graben aus Ahrendsee;;;54.2140361;13.1224575;Germany;;;;
;Graben aus Sandhagen;;;;;;;;;
;Graben aus Thorstorf;;;;;;;;;
;Grabuosta;;;55.166371;25.3143614;Lithuania;;;;
;Grimsau OL;;OL/UL;54.673542;9.93317;Germany;;;;
;Grimsau UL;;OL/UL;;;Germany;;;;
;Grimsnisau;;;;;;;;;
;Grinau OL;;OL/UL;53.7748969;10.5485609;Germany;;;;
;Grinau UL;;OL/UL;;;Germany;;;;
;Grīva;;;55.8611884;26.5126459;Latvia;11204955-681b-446e-958d-42d1415bd478;LV37581;;
;Große Hüttener Au;;;54.4697133;9.7122473;Germany;;;;
;Große Schierbek;;;54.393565;10.395713;Germany;;;;
;Grundfjärdsbäcken (Åland);;;;;;2a74dc53-f207-4334-b68c-c3a18d180373;FI82036A;;
;Gräsanoja;;;60.1818713;24.7645524;Finland;8b2f4bc6-cb40-4420-bfd7-713b3ee8dd5e;FI81053;;
;Gudenå;;;56.1184882;9.6731751;Denmark;;;;
;Gumbölenjoki;;;60.208066;24.6062869;Finland;;;;
;Gusinaya;;;;;Russia;;;;
;Gådeån;;;62.6156035;17.8835102;Sweden;0d945821-b87b-4e0e-9b70-5ebe50975d87;SE39000;;
;Gåsebæk;;;55.7773606;12.2274537;Denmark;38733c1b-aa81-4e92-b422-0702f7acaa41;DK0214a;;
;Gäddbäcken;;;64.3699227;18.8306562;Sweden;fbfa9a23-3558-44d5-8a36-b50eebf58e18;FI83098;;
;Gätenbach;;;53.5492868;13.264672;Germany;;;;
;Gösebek;;;54.0385129;10.7314337;Germany;;;;
;Göta älv;;;58.0593149;12.1418989;Sweden;b8651dd3-77af-41b0-bdbe-b17bc1680875;SE108000;;
;Göwe;;;53.6766783;11.6456699;Germany;;;;
;Haaganpuro;;;60.2282696;24.9195902;Finland;d9917381-b9b5-403b-9593-ff398dda7d75;FI81V050;;
;Haaler Au;;;54.1399859;9.5427472;Germany;;;;
;Haapajoki;;;61.8948999;25.2581106;Finland;e0cb1d9c-a662-47d0-a396-9e0775982965;FI84088;;
;Habernis;;;54.7971254;9.7679944;Germany;;;;
;Habernisser Au;;;54.7809894;9.7780997;Germany;;;;
;Hagbyån;;;56.6434627;15.9308195;Sweden;196b94ac-bf16-48bd-9216-11b517bcbd87;SE78000;;
;Hagener Au;;;54.3808724;10.2777987;Germany;;;;
;Haisterbek OL;;OL/UL;;;Germany;;;;
;Haisterbek UL;;OL/UL;;;Germany;;;;
;Haldenvassdraget;;;;;;fdb18d6f-cc43-4974-a7ed-7dab2ef42101;SE301000;;
;Halikonjoki;;;60.4146668;23.0373413;Finland;aa9c9447-d8e7-4258-b19f-a9b13cf07dc1;FI26000;;
;Halleby å;;;55.5693464;11.2482727;Denmark;;;;
;Halmstadsbäcken;;;;;Sweden;;;;
;Halsted Å;;;54.8408152;11.2181112;Denmark;bb72b377-20dc-4b0b-9caa-2f2effca4ec1;DK0833;;
;Hamarinjärvi (bif. Sahajärvi);;;;;;de5c68c1-b69a-43a5-b5f9-0e8d2c9ab15b;FI82024;;
;Hamrångeån;;;60.9123415;17.0400526;Sweden;cd9a8025-458b-4b17-b0fe-05fd7a27a4a3;SE50000;;
;Hangelbybäcken;;;60.27337;25.37451;Finland;08b1c10f-1792-4e3e-b394-fa38aaef187f;FI81045;;
;Hanshagener;"Hanshagener Bach; Hanshagener Bach (Ziese)";;54.0322364;13.4988353;Germany;;;;
